"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","8325","0.0-0.0","2024-11-21T14:53:19.141Z","5_q3vhyy","","","","","","","","","","","","",""
"","","","","","survey","1","10322","0.0-1.0","2024-11-21T14:53:19.141Z","5_q3vhyy","1972","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","828108","0.0-2.0","2024-11-21T14:53:19.141Z","5_q3vhyy","817769","{""subject_id"":""5_q3vhyy""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","874130","0.0-3.0","2024-11-21T14:53:19.141Z","5_q3vhyy","46020","49","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","882898","0.0-4.0","2024-11-21T14:53:19.141Z","5_q3vhyy","8767","89","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","909522","0.0-5.0","2024-11-21T14:53:19.141Z","5_q3vhyy","26623","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","1092194","0.0-6.0","2024-11-21T14:53:19.141Z","5_q3vhyy","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","1092195","0.0-7.0-0.0","2024-11-21T14:53:19.141Z","5_q3vhyy","","","","","","","","","","","","",""
"","","","","","survey","8","1250185","0.0-7.0-1.0","2024-11-21T14:53:19.141Z","5_q3vhyy","157940","{""PCIRest1"":4,""PCIRest2"":4,""PCIRest3"":3,""PCIRest4"":4,""PCIRest5"":3,""PCIRest6"":4,""PCIRest7"":2,""PCIRest8"":3,""PCIRest9"":2,""PCIRest10"":4,""PCIRest11"":3,""PCIRest12"":3,""PCIRest13"":4,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","1250186","0.0-7.0-2.0","2024-11-21T14:53:19.141Z","5_q3vhyy","","","","","","","","","","","","",""
"","","","","","instructions","10","1953681","0.0-8.0","2024-11-21T14:53:19.141Z","5_q3vhyy","703495","","instructions1","","","","[{""page_index"":0,""viewing_time"":703494}]","","","","","",""
"","","","","","html-button-response","11","1970648","0.0-9.0","2024-11-21T14:53:19.141Z","5_q3vhyy","16966","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","4160758","0.0-10.0","2024-11-21T14:53:19.141Z","5_q3vhyy","null","null","GanzfeldPlay","../audio/German_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","4160768","0.0-11.0-0.0","2024-11-21T14:53:19.141Z","5_q3vhyy","","","","","","","","","","","","",""
"","","","","","survey","14","4641385","0.0-11.0-1.0","2024-11-21T14:53:19.141Z","5_q3vhyy","480513","{""PCIGanz1"":5,""PCIGanz2"":5,""PCIGanz3"":2,""PCIGanz4"":6,""PCIGanz5"":3,""PCIGanz6"":2,""PCIGanz7"":2,""PCIGanz8"":1,""PCIGanz9"":1,""PCIGanz10"":2,""PCIGanz11"":4,""PCIGanz12"":4,""PCIGanz13"":4,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","4641387","0.0-11.0-2.0","2024-11-21T14:53:19.141Z","5_q3vhyy","","","","","","","","","","","","",""
